	extensions	timeInS	force [pN]
0	4.5458229064941404	0.0	-0.003
1	4.574133682250976	1e-10	20.3471
2	4.599993896484375	2e-10	41.1066
3	4.471597671508789	3e-10	8.4028
4	4.378456497192383	4e-10	60.1618
5	4.562614822387696	5e-10	44.2598
6	4.525564956665039	6e-10	41.6146
7	4.446470642089844	7.000000000000001e-10	47.0782
8	4.4981426239013675	8e-10	56.9843
9	4.4441368103027346	9.000000000000001e-10	60.8811
10	4.517830657958984	1e-09	44.057
11	4.527835083007813	1.1000000000000001e-09	50.0798
12	4.518627166748047	1.2e-09	59.5255
13	4.520096969604492	1.3e-09	51.0104
14	4.571239852905274	1.4000000000000001e-09	82.8158
15	4.506934356689453	1.5000000000000002e-09	71.7187
16	4.490632247924805	1.6e-09	50.5934
17	4.60184326171875	1.7000000000000001e-09	56.841
18	4.55760498046875	1.8000000000000002e-09	77.1853
19	4.556314849853516	1.9e-09	96.1955
20	4.563346099853516	2e-09	62.1757
21	4.581024169921875	2.1e-09	76.5486
22	4.59973258972168	2.2000000000000003e-09	89.7084
23	4.564581680297851	2.3000000000000003e-09	69.5534
24	4.658919143676758	2.4e-09	102.1747
25	4.54620361328125	2.5e-09	102.8543
26	4.608401489257813	2.6e-09	123.3541
27	4.662749862670899	2.7e-09	105.1325
28	4.640020370483398	2.8000000000000003e-09	132.7738
29	4.581345748901367	2.9000000000000003e-09	152.4048
30	4.610545349121094	3.0000000000000004e-09	139.2554
31	4.684968185424805	3.1e-09	143.6768
32	4.596836090087891	3.2e-09	140.5567
33	4.6421558380126955	3.3e-09	165.5195
34	4.512517547607422	3.4000000000000003e-09	164.6004
35	4.513543319702149	3.5000000000000003e-09	165.1786
36	4.6198371887207035	3.6000000000000004e-09	183.6847
37	4.588406753540039	3.7000000000000005e-09	195.6649
38	4.621500015258789	3.8e-09	196.9761
39	4.468610382080079	3.9e-09	204.8499
40	4.57654037475586	4e-09	225.7875
41	4.638428115844727	4.1e-09	235.6556
42	4.679563903808594	4.2e-09	204.3799
43	4.651448440551758	4.3000000000000005e-09	225.4336
44	4.624629974365234	4.4000000000000005e-09	232.9458
45	4.676786804199219	4.500000000000001e-09	240.8425
46	4.675088500976563	4.600000000000001e-09	242.1784
47	4.731163406372071	4.700000000000001e-09	255.5747
48	4.750363540649414	4.8e-09	260.5037
49	4.729599380493164	4.9e-09	264.1662
50	4.739062118530273	5e-09	267.4843
51	4.65313606262207	5.1e-09	276.0459
52	4.715529251098633	5.2e-09	297.5541
53	4.749021148681641	5.3e-09	313.1828
54	4.695692825317383	5.4e-09	291.7676
55	4.799319458007813	5.5000000000000004e-09	296.2213
56	4.7442981719970705	5.6000000000000005e-09	318.443
57	4.851563262939454	5.7000000000000006e-09	337.2546
58	4.773723220825196	5.800000000000001e-09	326.7639
59	4.7564342498779295	5.900000000000001e-09	340.605
60	4.902854156494141	6.000000000000001e-09	369.3874
61	4.8635192871093755	6.100000000000001e-09	362.0247
62	4.797819137573242	6.2e-09	378.3365
63	4.820609283447266	6.3e-09	376.1007
64	4.842548370361328	6.4e-09	384.567
65	4.873460006713867	6.5e-09	392.9755
66	4.791779327392578	6.6e-09	396.2743
67	4.8028503417968755	6.7000000000000004e-09	407.8485
68	4.819347763061524	6.8000000000000005e-09	426.9651
69	4.7558448791503904	6.9000000000000006e-09	431.6747
70	4.892518997192383	7.000000000000001e-09	449.4401
71	4.9304653167724615	7.100000000000001e-09	449.582
72	4.891332626342773	7.200000000000001e-09	450.3476
73	4.853958892822266	7.300000000000001e-09	439.0612
74	4.898781967163086	7.400000000000001e-09	478.8345
75	4.865975189208985	7.500000000000001e-09	463.9009
76	4.888084411621094	7.6e-09	496.1508
77	4.878911972045898	7.700000000000001e-09	474.2106
78	4.9351654052734375	7.8e-09	480.1942
79	4.79912338256836	7.900000000000001e-09	493.3078
80	4.843828964233399	8e-09	492.0303
81	4.847526168823243	8.100000000000001e-09	478.1726
82	4.8536216735839846	8.2e-09	481.3362
83	4.878569030761719	8.3e-09	479.4524
84	4.868645095825196	8.4e-09	480.9594
85	4.891030883789063	8.5e-09	478.3383
86	4.808382034301758	8.600000000000001e-09	496.4193
87	4.889148712158203	8.7e-09	509.5478
88	4.912189865112305	8.800000000000001e-09	511.7275
89	4.892131805419922	8.9e-09	515.8686
90	4.872178268432617	9.000000000000001e-09	523.6336
91	4.932503128051758	9.1e-09	539.6607
92	4.899782180786133	9.200000000000001e-09	538.3216
93	4.917370986938477	9.3e-09	544.0012
94	5.0179389953613285	9.400000000000001e-09	549.9879
95	4.9484607696533205	9.5e-09	547.225
96	5.058798217773438	9.6e-09	561.9246
97	5.0433288574218755	9.700000000000001e-09	573.7319
98	5.065131378173828	9.8e-09	585.1253
99	5.1259304046630865	9.900000000000001e-09	590.1887
100	5.0128425598144535	1e-08	587.3858
101	5.064033126831055	1e-08	587.3858
102	5.067792892456055	1.0100000000000001e-08	607.8037
103	5.239609146118164	1.02e-08	615.1084
104	5.784203338623048	1.0300000000000001e-08	636.8339
105	5.887151718139648	1.04e-08	631.2728
106	6.0407554626464846	1.0500000000000001e-08	609.9591
107	6.241589736938477	1.06e-08	566.7802
108	6.285769271850587	1.0700000000000002e-08	559.4629
109	6.225520706176758	1.08e-08	582.8809
110	6.233137512207032	1.0900000000000002e-08	567.4937
111	6.192301940917969	1.1000000000000001e-08	579.5422
112	6.156422805786133	1.11e-08	588.2853
113	6.1613510131835945	1.1200000000000001e-08	600.886
114	6.171440887451173	1.13e-08	618.527
115	6.285128021240235	1.1400000000000001e-08	592.6635
116	6.196863174438477	1.15e-08	609.8424
117	6.279518508911133	1.1600000000000001e-08	611.7804
118	6.293205261230469	1.17e-08	615.7968
119	6.3028606414794925	1.1800000000000001e-08	622.9592
120	6.32076530456543	1.19e-08	638.1115
121	6.250218963623047	1.2000000000000002e-08	639.8839
122	6.255229568481446	1.21e-08	656.1606
123	6.275510787963867	1.2200000000000002e-08	657.276
124	6.301590347290039	1.2300000000000001e-08	667.5185
125	6.313102722167969	1.24e-08	677.7959
126	6.256537246704102	1.2500000000000001e-08	668.3339
127	6.296905517578125	1.26e-08	671.1086
128	6.285206985473633	1.2700000000000001e-08	690.3064
129	6.263507461547852	1.28e-08	703.1452
130	6.256107330322266	1.2900000000000001e-08	702.3464
131	6.30309181213379	1.3e-08	711.4725
132	6.310189819335938	1.3100000000000001e-08	729.2275
133	6.304057312011719	1.32e-08	728.0379
134	6.295774078369141	1.3300000000000002e-08	740.7119
135	6.347119903564454	1.3400000000000001e-08	735.7589
136	6.289804458618164	1.3500000000000002e-08	750.4608
137	6.314766693115235	1.3600000000000001e-08	720.6326
138	6.315984344482422	1.37e-08	722.405
139	6.247780227661133	1.3800000000000001e-08	698.3004
140	6.233665847778321	1.39e-08	660.7499
141	6.195801162719727	1.4000000000000001e-08	607.9824
142	6.257753372192383	1.41e-08	556.9635
143	6.158930587768555	1.4200000000000001e-08	497.1382
144	6.232632446289063	1.43e-08	432.1251
145	6.212022018432617	1.4400000000000002e-08	397.0471
146	6.158869552612305	1.45e-08	373.6552
147	6.135469818115235	1.4600000000000002e-08	367.2701
148	6.197144317626954	1.4700000000000001e-08	379.0811
149	6.1646728515625	1.4800000000000002e-08	395.2859
150	6.129971694946289	1.4900000000000001e-08	403.1942
151	6.214266967773438	1.5000000000000002e-08	421.9277
152	6.162595748901367	1.51e-08	421.0421
153	6.197379302978516	1.52e-08	409.6748
154	6.223799133300782	1.53e-08	419.5971
155	6.169409561157227	1.5400000000000002e-08	429.1672
156	6.190438079833985	1.55e-08	421.2805
157	6.171014785766602	1.56e-08	426.3059
158	6.189142227172852	1.57e-08	419.584
159	6.1161853790283205	1.5800000000000003e-08	437.9691
160	6.131857299804688	1.59e-08	450.7113
161	6.184062194824219	1.6e-08	475.1316
162	6.218380355834961	1.6100000000000002e-08	460.7459
163	6.196615600585938	1.6200000000000003e-08	459.3754
164	6.275735473632813	1.63e-08	475.1069
165	6.230538940429688	1.64e-08	466.5273
166	6.116513442993164	1.6500000000000002e-08	489.499
167	6.150551223754883	1.66e-08	489.5942
168	6.2031097412109375	1.67e-08	497.114
169	6.280964660644532	1.68e-08	523.621
170	6.1658164978027346	1.6900000000000002e-08	514.5758
171	6.211372756958008	1.7e-08	511.9223
172	6.225074005126953	1.71e-08	526.0675
173	6.242190551757813	1.7200000000000002e-08	536.1199
174	6.1718799591064455	1.7300000000000003e-08	534.5801
175	6.306495666503906	1.74e-08	543.0461
176	6.226773452758789	1.75e-08	564.5762
177	6.199906158447266	1.7600000000000002e-08	550.4209
178	6.162089157104493	1.7700000000000003e-08	564.7105
179	6.352631378173829	1.78e-08	583.0758
180	6.330315017700196	1.79e-08	581.7323
181	6.217405700683594	1.8000000000000002e-08	584.4315
182	6.1382896423339846	1.81e-08	584.599
183	6.095171737670899	1.82e-08	554.8251
184	6.186774826049805	1.8300000000000002e-08	460.6443
185	6.131247711181641	1.8400000000000003e-08	376.5978
186	6.168931579589844	1.85e-08	321.7503
187	6.029159927368164	1.86e-08	318.2513
188	6.160259628295899	1.8700000000000002e-08	345.2064
189	6.063412094116211	1.8800000000000003e-08	382.197
190	6.046778869628906	1.89e-08	373.7405
191	6.119509506225587	1.9e-08	378.7523
192	6.182803344726563	1.9100000000000002e-08	396.9802
193	6.094855499267578	1.92e-08	395.6245
194	6.113064193725586	1.93e-08	389.2404
195	6.113628005981446	1.9400000000000002e-08	405.9962
196	6.15277328491211	1.9500000000000003e-08	431.5328
197	6.058794021606445	1.96e-08	419.7754
198	6.165950775146484	1.97e-08	407.2553
199	6.139730072021485	1.9800000000000002e-08	429.8103
200	6.197557830810547	1.9900000000000003e-08	436.4531
201	6.109432983398438	2e-08	458.6456
202	6.1621032714843755	2.01e-08	449.8712
203	6.133761596679688	2.0200000000000002e-08	460.6367
204	6.174251556396484	2.0300000000000003e-08	472.8235
205	6.22479476928711	2.04e-08	489.1213
206	6.194768524169922	2.05e-08	476.4784
207	6.213339614868165	2.0600000000000002e-08	481.5634
208	6.261260604858399	2.07e-08	480.7712
209	6.242847442626953	2.08e-08	510.0516
210	6.22319221496582	2.0900000000000002e-08	527.5129
211	6.247615814208984	2.1000000000000003e-08	530.2302
212	6.28514633178711	2.11e-08	538.6314
213	6.258677673339844	2.12e-08	535.639
214	6.284497070312501	2.1300000000000002e-08	550.8421
215	6.338804244995117	2.1400000000000003e-08	551.6238
216	6.352840042114258	2.15e-08	546.255
217	6.26050033569336	2.16e-08	560.3929
218	6.321352005004883	2.1700000000000002e-08	581.3222
219	6.3462371826171875	2.1800000000000003e-08	600.7042
220	6.386669921875001	2.19e-08	579.9006
221	6.297880172729492	2.2000000000000002e-08	579.8476
222	6.360652923583984	2.2100000000000003e-08	604.7021
223	6.297117996215821	2.22e-08	626.1856
224	6.341576766967774	2.23e-08	621.4373
225	6.3685546875000005	2.2400000000000002e-08	627.5507
226	6.345048141479492	2.2500000000000003e-08	636.4823
227	6.421650695800782	2.26e-08	649.4042
228	6.336914825439454	2.27e-08	650.895
229	6.454650115966797	2.2800000000000002e-08	638.2556
230	6.29930419921875	2.2900000000000003e-08	666.9827
231	6.401439666748047	2.3e-08	657.2221
232	6.393089294433594	2.3100000000000002e-08	654.443
233	6.369089889526368	2.3200000000000003e-08	668.4148
234	6.35344123840332	2.33e-08	682.8993
235	6.381023406982422	2.34e-08	686.5824
236	6.424319458007813	2.3500000000000002e-08	710.0067
237	6.414038848876953	2.3600000000000003e-08	708.9793
238	6.384520721435547	2.37e-08	703.6531
239	6.561653900146485	2.38e-08	727.5691
240	6.671357727050782	2.3900000000000002e-08	735.6843
241	7.1146995544433596	2.4000000000000003e-08	725.2174
242	7.5494529724121096	2.41e-08	738.3584
243	7.896636199951172	2.42e-08	694.7538
244	8.295068359375	2.4300000000000003e-08	669.8297
245	9.024218750000001	2.4400000000000003e-08	649.4563
246	10.856851196289064	2.45e-08	617.7205
247	12.225244140625001	2.4600000000000002e-08	561.6857
248	12.940968322753907	2.4700000000000003e-08	413.9943
249	13.448820495605469	2.48e-08	358.3016
250	13.345709228515625	2.49e-08	309.0632
251	13.312385559082031	2.5000000000000002e-08	280.0415
252	13.447698974609375	2.5100000000000003e-08	291.1201
253	13.599906921386719	2.52e-08	289.0845
254	13.599113464355469	2.53e-08	276.9682
255	13.839231872558594	2.5400000000000002e-08	278.8205
256	13.799848937988282	2.5500000000000003e-08	281.2337
257	13.960473632812501	2.56e-08	267.6913
258	14.299348449707033	2.5700000000000002e-08	293.716
259	14.030284118652345	2.5800000000000003e-08	286.3166
260	14.257733154296876	2.5900000000000004e-08	263.0046
261	14.290008544921875	2.6e-08	296.0879
262	14.309080505371094	2.6100000000000002e-08	271.408
263	14.14130096435547	2.6200000000000003e-08	288.0647
264	14.339808654785157	2.63e-08	285.8172
265	14.320182800292969	2.64e-08	306.1718
266	14.239564514160158	2.6500000000000002e-08	300.9956
267	14.52659149169922	2.6600000000000003e-08	309.7628
268	14.36487274169922	2.67e-08	344.0079
269	14.512831115722657	2.6800000000000002e-08	332.3429
270	14.500939941406251	2.6900000000000003e-08	334.3987
271	14.526350402832032	2.7000000000000004e-08	320.8463
272	14.601155090332032	2.71e-08	348.7261
273	14.550711059570313	2.7200000000000002e-08	379.495
274	14.385897827148439	2.7300000000000003e-08	377.0805
275	14.59580078125	2.74e-08	356.8108
276	14.675378417968751	2.75e-08	403.2929
277	14.772267150878907	2.7600000000000002e-08	392.5467
278	14.770973205566406	2.7700000000000003e-08	382.9559
279	15.012867736816407	2.78e-08	376.574
280	14.737266540527344	2.7900000000000002e-08	389.3629
281	14.823789978027344	2.8000000000000003e-08	388.3993
282	14.893827819824219	2.8100000000000003e-08	412.5209
283	14.895388793945314	2.82e-08	401.7154
284	15.135627746582031	2.8300000000000002e-08	412.3737
285	15.131024169921876	2.8400000000000003e-08	411.1019
286	15.23862762451172	2.8500000000000004e-08	412.5276
287	15.346492004394532	2.86e-08	397.541
288	15.217379760742189	2.8700000000000002e-08	393.844
289	15.318695068359375	2.8800000000000003e-08	407.0614
290	15.214065551757812	2.89e-08	422.6336
291	15.1939208984375	2.9e-08	427.9903
292	15.436373901367189	2.9100000000000002e-08	455.2724
293	15.167378234863282	2.9200000000000003e-08	476.6095
294	15.361421203613283	2.93e-08	446.8378
295	15.354357910156251	2.9400000000000002e-08	484.8015
296	15.457278442382814	2.9500000000000003e-08	468.4215
297	15.315364074707032	2.9600000000000004e-08	468.5149
298	15.516604614257814	2.97e-08	491.7034
299	15.405552673339844	2.9800000000000002e-08	497.8114
300	15.407228088378908	2.99e-08	480.1605
301	15.456980895996095	3.0000000000000004e-08	518.6981
302	15.438987731933594	3.0100000000000005e-08	513.7204
303	15.491896057128907	3.02e-08	499.1908
304	15.493519592285157	3.03e-08	525.5717
305	15.417298889160158	3.04e-08	538.5892
306	15.549234008789064	3.05e-08	535.626
307	15.617474365234376	3.06e-08	548.1204
308	15.594110107421876	3.0700000000000004e-08	552.3082
309	15.39521942138672	3.0800000000000004e-08	570.4741
310	15.506068420410157	3.0900000000000005e-08	571.5783
311	15.571607971191407	3.1e-08	586.0822
312	15.727789306640625	3.11e-08	581.06
313	15.615606689453125	3.12e-08	587.5676
314	15.545838928222658	3.13e-08	591.4142
315	15.482611083984375	3.14e-08	608.9667
316	15.627549743652345	3.1500000000000004e-08	635.9332
317	15.624723815917969	3.1600000000000005e-08	640.2571
318	15.907313537597657	3.17e-08	613.9327
319	15.816304016113282	3.18e-08	619.4049
320	15.884262084960938	3.19e-08	606.2967
321	15.772201538085938	3.2e-08	616.9791
322	15.693190002441407	3.21e-08	649.5613
323	15.776580810546875	3.2200000000000004e-08	654.5597
324	15.716273498535157	3.2300000000000005e-08	651.9872
325	15.744651794433594	3.2400000000000006e-08	670.6474
326	15.895445251464844	3.25e-08	667.7448
327	15.764694213867188	3.26e-08	683.4656
328	15.837312316894533	3.27e-08	681.2571
329	15.905770874023439	3.28e-08	696.251
330	15.850088500976563	3.2900000000000003e-08	696.6668
331	15.887098693847657	3.3000000000000004e-08	687.9171
332	15.783470153808594	3.3100000000000005e-08	690.8866
333	15.92474365234375	3.32e-08	694.9236
334	15.908259582519532	3.33e-08	708.5433
335	15.908709716796876	3.34e-08	703.4919
336	15.924157714843751	3.35e-08	696.2716
337	15.874366760253906	3.36e-08	719.8068
338	15.897320556640626	3.3700000000000004e-08	717.0631
339	15.964479064941408	3.3800000000000005e-08	742.3259
340	15.878962707519532	3.3900000000000006e-08	719.3672
341	15.927764892578125	3.4e-08	729.5176
342	15.884817504882813	3.41e-08	740.0267
343	15.838188171386719	3.42e-08	736.5632
344	16.015240478515626	3.43e-08	759.7939
345	15.825976562500001	3.4400000000000004e-08	767.262
346	16.109233093261718	3.4500000000000005e-08	765.6194
347	15.962271118164063	3.4600000000000005e-08	791.5211
348	15.853559875488282	3.47e-08	768.3043
349	15.995587158203126	3.48e-08	753.6891
350	16.04261016845703	3.49e-08	747.7283
351	15.7938232421875	3.5e-08	720.6393
352	15.633624267578126	3.51e-08	686.8443
353	15.082830810546875	3.5200000000000004e-08	623.5991
